% Coordinates of events in WikiLeaks Afghan War Diary
% Longitude, Latitude, Day number (starting from 1st January 2004)

71.234,35.051,85
69.914,33.299,85
69.033,33.434,85
69.727,33.177,85
68.396,33.561,85
68.827,33.172,85
69.439,32.828,85
69.195,32.538,85
69.183,34.517,86
69.956,33.338,86
66.997,32.192,86
69.026,33.428,86
71.147,34.873,87
69.651,33.182,87
69.648,33.188,87
69.739,33.366,87
69.322,34.554,88
68.421,33.548,88
65.717,31.617,88
70.492,34.408,89
65.793,32.209,89
65.842,32.246,90
71.504,35.284,91
69.955,33.139,91
69.1,32.8,92
68.437,33.564,92
69.031,33.432,92
69.863,33.126,92
69.867,33.103,92
69.778,33.213,92
69.3,32.547,92
69.916,33.137,93
68.649,33.995,93
65.683,31.647,93
69.868,33.126,94
69.229,33.592,95
65.85,31.5,95
69.195,32.538,95
70.902,34.984,95
69.629,33.811,96
69.043,33.432,96
69.736,34.587,96
69.593,33.836,97
69.652,33.182,97
69.879,33.232,98
69.915,33.338,98
64.78,31.981,98
69.475,32.946,98
65.667,31.4,99
68.389,33.567,99
69.094,32.789,99
69.923,33.136,99
69.946,33.337,99
69.902,33.21,100
69.373,33.365,100
69.979,33.139,100
69.195,32.538,100
68.396,33.561,100
70.02,33.322,100
65.878,32.595,101
65.491,32.672,101
65.493,32.671,101
70.02,33.267,101
68.171,33.404,102
65.899,32.621,102
69.763,34.59,102
64.011,33.426,102
70.206,33.289,102
68.505,33.496,103
69.439,32.839,103
69.317,34.727,104
70.041,33.704,104
68.237,33.965,104
65.75,31,105
69.222,32.903,105
64.011,33.426,106
69.268,34.949,106
70.455,34.464,106
68.215,33.704,106
65.75,31,107
68.268,33.56,107
67.05,31.567,107
67.418,32.52,107
69.042,33.435,107
69.911,33.263,108
69.886,33.348,108
66.91,32.107,109
65.567,31.95,109
69.117,32.75,109
69.1,32.8,110
65.463,32.629,110
70.001,33.421,111
66.404,31.011,112
65.701,31.613,112
65.709,31.614,113
66.181,30.981,113
68.872,36.721,113
65.736,31.643,113
65.764,31.79,113
71.393,35.149,113
67.9,34.333,115
69.808,33.795,116
65.738,32.258,116
65.421,31.565,117
69.813,33.545,117
69.073,34.015,118
65.85,31.5,118
69.177,32.94,119
64.783,35.917,120
67.386,32.468,120
65.7,31.617,121
65.7,31.617,121
65.333,31.533,121
65.483,31.967,122
67.417,32.517,122
70.45,34.417,122
68.133,34.883,122
70.809,35.335,123
67.146,32.038,123
69.917,33.3,124
70.456,34.599,124
67.633,31.9,124
68.44,33.558,124
67.417,32.517,124
68.433,33.55,125
69.087,33.989,125
64.083,29.517,125
67.228,31.663,125
69.086,34.016,126
65.917,31.5,126
68.783,34.525,126
66.9,32.1,126
65.633,32.45,126
65.75,33.636,126
70.458,34.995,126
65.762,31.784,127
65.7,31.617,127
69.25,35.617,127
65.483,31.967,128
70.138,34.185,129
70.146,34.183,129
67.417,32.517,129
66.35,31.833,129
65.833,30.767,129
65.702,31.597,129
68.431,34.354,129
65.017,32.633,130
64.786,35.925,130
68.433,33.55,131
68.913,36.845,131
71.552,35.234,131
71.147,34.873,131
65.636,31.349,132
69.314,34.539,132
69.234,33.586,132
69.229,33.641,132
69.28,32.567,132
71.135,34.853,132
68.22,33.559,132
69.869,34.524,133
66.191,32.184,133
66.191,32.182,133
69.765,33.164,133
66.191,32.182,133
69.821,33.229,133
69.659,33.322,134
68.742,32.477,134
69.647,33.177,134
64.752,32.311,134
67.15,32.112,134
66.19,32.184,134
69.433,32.682,134
65.867,32.617,135
70.469,34.431,135
64.011,33.426,135
66.825,32.433,135
70.744,35.314,135
71.119,34.794,135
64.011,33.426,135
69.268,34.949,135
66.774,32.356,136
64.747,32.303,136
69.457,34.175,136
71.203,34.822,136
66.933,36.65,136
64.8,35.909,136
64.51,31.827,136
66.813,32.406,136
65.137,31.283,137
68.185,32.639,137
69.234,33.592,137
68.261,32.641,137
65.575,32.294,137
69.958,33.339,137
69.227,33.603,137
66.152,32.153,138
69.233,35.1,138
66.51,32.177,138
69.295,32.695,138
70.224,34.249,138
69.222,33.605,138
68.429,33.549,138
64.011,33.426,138
64.788,35.749,139
67.309,32.216,139
68.246,33.304,139
70.746,34.672,139
68.531,34.319,139
65.058,31.284,139
68.531,34.319,139
69.821,33.338,139
70.921,34.89,139
69.915,33.111,140
69.47,32.976,140
70.947,34.943,140
68.531,34.319,140
68.418,33.553,140
65.836,32.583,140
69.202,33.013,141
68,34.25,141
70.037,33.548,141
69.108,33.986,141
69.221,33.599,141
69.767,34.417,141
64.108,32.539,141
70.45,34.417,141
71.186,34.802,142
64.567,32.817,142
69.961,33.366,142
69.695,33.946,142
70.331,34.724,142
65.983,31.967,143
69.223,33.95,143
65.633,32.45,144
64.011,33.426,144
67.417,32.517,144
70.717,34.233,144
67.817,35.55,144
69.406,33.637,144
70.455,34.464,144
64.567,32.817,144
68.707,33.143,144
71.532,35.297,144
70.8,34.067,144
70.455,34.464,144
70.144,34.181,144
69.886,33.563,144
65.75,31,144
67.817,35.55,144
69.308,34.529,144
68.449,32.856,145
65.462,32.643,145
68.783,34.45,145
68.886,36.589,145
70.717,34.233,146
70.067,33.35,146
69.263,34.976,146
66.826,32.696,146
65.864,32.604,146
68.257,34.262,147
70.45,34.417,147
66.404,31.011,147
66.5,31.567,147
67.779,32.516,147
69.153,34.526,147
69.271,34.949,147
65.793,31.547,147
66.067,32.694,147
68.505,33.496,147
69.541,36.73,147
66.5,31.567,148
65.883,31.617,148
69.221,33.599,148
67.416,32.516,148
71.1,34.783,148
68.234,33.548,148
69.014,34.008,148
69.529,33.971,148
64.817,32.067,149
65.796,31.606,149
64.011,33.426,149
67.1,36.7,149
68.791,33.172,149
66.071,32.529,149
66.075,32.533,149
66.951,32.122,149
66.107,32.455,149
66.1,32.388,149
66.106,32.54,149
70.149,33.256,149
68.257,33.559,149
70.067,34.3,150
64.083,29.517,150
66.5,31.567,150
68.544,34.373,150
70.145,33.231,150
65.45,32.617,150
67.243,32.089,150
68.52,34.519,150
65.007,35.975,151
64.733,32.45,151
66.481,32.194,151
67.332,32.135,151
66.667,32.339,151
67.332,32.135,151
70.906,34.984,152
68.488,33.536,152
71.033,34.233,153
67.417,32.517,153
64.483,35.9,154
67.417,32.517,154
66.901,32.112,154
66.767,32.633,154
67.042,30.617,155
64.817,32.067,156
70.17,34.217,156
69.175,32.916,156
65.873,31.737,156
65.75,36.667,157
70.462,34.463,157
70.358,34.277,157
70.45,34.417,157
70.162,33.25,157
64.011,33.426,158
67.024,36.633,158
67.05,31.567,158
70.6,34.333,158
69.085,34,158
63.747,35.139,158
68.904,33.736,158
70.461,34.47,158
65.79,31.328,159
65.462,32.643,159
69,33.432,159
68.372,31.904,159
68.716,32.317,159
66.639,32.608,159
70.935,34.956,159
65.719,32.576,160
65.555,33.403,160
69.878,33.565,160
70.062,33.299,160
69.5,34.75,160
67.543,32.518,160
66.586,32.806,160
66.708,32.537,160
66.706,32.533,160
69.5,34.75,160
69.991,34.227,161
65.878,32.687,161
70.8,34.2,161
69.25,35.617,161
66.95,32.117,161
67.341,32.425,161
69.673,36.843,162
66.533,31.567,162
68.883,33.739,162
70.033,33.543,162
67.383,32.367,162
70.114,33.206,162
70.114,33.206,162
70.167,34.266,163
65.253,31.26,163
68.713,32.277,163
69.314,34.912,163
65.853,36.372,163
69.413,32.907,163
69.155,32.934,163
69.898,33.141,163
65.75,31,164
68.953,34.45,164
70.358,34.304,164
70.45,34.417,164
65.548,32.642,164
69.075,34.015,164
66.426,32.607,164
69.733,34.6,165
64.538,31.462,165
65.883,33.169,165
64.567,31.817,165
67.213,32.109,165
68.936,32.792,165
